Designator,Mid X,Mid Y,Rotation,Layer
C1,110.8775,-105.775,180.0,top
C10,162.224,-133.842,180.0,top
C11,162.224,-117.332,180.0,top
C12,121.33,-106.029,90.0,top
C2,111.17,-125.46,270.0,top
C3,119.425,-129.905,180.0,top
C4,113.71,-129.905,180.0,top
C5,108.63,-133.715,90.0,top
C6,104.82,-133.715,90.0,top
C7,111.4625,-145.78,0.0,top
C8,104.185,-145.78,0.0,top
C9,162.224,-150.606,180.0,top
CL4,155.62,-119.872,270.0,top
CL5,151.048,-129.778,90.0,top
CL6,148.508,-124.444,180.0,top
CR4,170.606,-120.38,180.0,top
CR5,169.336,-136.128,180.0,top
CR6,175.432,-134.096,270.0,top
D1,118.79,-115.427,270.0,top
D2,115.996,-149.336,180.0,top
D3,116.25,-152.638,0.0,top
J1,108.218,-113.7175,0.0,top
JL2,144.1773,-103.87,270.0,top
JL3,145.8791,-151.7998,90.0,top
JR2,179.6738,-103.87,270.0,top
JR3,181.3756,-151.7998,90.0,top
L1,117.52,-124.19,270.0,top
L2,104.82,-124.215,270.0,top
R1,110.916,-149.336,0.0,top
R17,165.272,-124.174,90.0,top
R18,162.986,-124.174,90.0,top
R19,165.272,-140.684,90.0,top
R2,110.916,-152.638,0.0,top
R20,162.986,-140.684,90.0,top
R21,164.764,-153.019,180.0,top
R22,158.668,-153.019,0.0,top
RL1,159.938,-106.664,270.0,top
RL10,154.604,-126.222,90.0,top
RL11,154.604,-130.286,90.0,top
RL12,147.873,-129.27,90.0,top
RL13,157.398,-149.844,0.0,top
RL14,156.89,-146.558,90.0,top
RL15,156.89,-142.478,270.0,top
RL16,154.604,-142.478,90.0,top
RL2,162.224,-106.664,270.0,top
RL3,156.89,-114.284,90.0,top
RL4,156.89,-110.22,270.0,top
RL5,154.604,-110.22,90.0,top
RL6,154.604,-114.284,90.0,top
RL7,152.318,-114.284,90.0,top
RL8,156.89,-130.302,90.0,top
RL9,156.89,-126.222,270.0,top
RR1,169.336,-105.394,180.0,top
RR10,170.86,-128.762,90.0,top
RR11,170.86,-132.826,90.0,top
RR12,173.146,-139.684,90.0,top
RR13,173.146,-143.764,90.0,top
RR14,168.574,-149.336,90.0,top
RR15,168.574,-145.272,270.0,top
RR16,170.86,-145.272,90.0,top
RR2,169.336,-107.68,180.0,top
RR3,168.574,-115.808,90.0,top
RR4,168.574,-111.744,270.0,top
RR5,170.86,-111.744,90.0,top
RR6,170.86,-115.808,90.0,top
RR7,176.448,-118.602,90.0,top
RR8,168.574,-132.842,90.0,top
RR9,168.574,-128.762,270.0,top
U1,114.41,-134.35,270.0,top
U2,111.17,-140.7,270.0,top
U3,104.185,-140.7,270.0,top
U4,162.67,-112.76,270.0,top
U5,162.67,-129.27,270.0,top
U6,162.67,-145.78,270.0,top
